[2025-08-13 14:10:10,804 - INFO] - Welcome to the online codegnan banking
[2025-08-13 14:10:25,514 - INFO] - Welcome to the online codegnan banking
[2025-08-13 14:34:18,070 - INFO] - Welcome to the online codegnan banking
[2025-08-13 14:34:33,776 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 14:34:33,777 - DEBUG] - user into login page
[2025-08-13 14:34:33,777 - INFO] - User successfully logined
[2025-08-13 14:34:33,777 - INFO] - {'1. Balance\n2. Withdraw\n3. Deposting\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 14:44:58,516 - INFO] - Welcome to the online codegnan banking
[2025-08-13 14:45:23,477 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 14:45:23,477 - DEBUG] - user into login page
[2025-08-13 14:45:23,515 - INFO] - User successfully logined
[2025-08-13 14:45:23,516 - INFO] - {'1. Balance\n2. Withdraw\n3. Deposting\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 15:00:22,062 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:00:31,183 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 15:00:31,183 - DEBUG] - user into login page
[2025-08-13 15:00:31,183 - INFO] - User successfully logined
[2025-08-13 15:00:31,185 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 15:01:41,026 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:01:51,802 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 15:01:51,802 - DEBUG] - user into login page
[2025-08-13 15:01:51,802 - INFO] - User successfully logined
[2025-08-13 15:01:51,803 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 15:05:33,980 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:05:41,677 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 15:05:41,677 - DEBUG] - user into login page
[2025-08-13 15:05:41,677 - INFO] - User successfully logined
[2025-08-13 15:05:41,678 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 15:06:34,084 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:06:46,817 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 15:06:46,817 - DEBUG] - user into login page
[2025-08-13 15:06:46,817 - INFO] - User successfully logined
[2025-08-13 15:06:46,818 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 15:08:11,906 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:09:04,683 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:09:13,719 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 15:09:13,720 - DEBUG] - user into login page
[2025-08-13 15:09:13,720 - INFO] - User successfully logined
[2025-08-13 15:09:13,720 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 15:09:22,624 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:09:27,808 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 15:09:27,809 - DEBUG] - user into login page
[2025-08-13 15:09:27,809 - INFO] - User successfully logined
[2025-08-13 15:09:27,809 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 15:10:05,513 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:10:15,095 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 15:10:15,096 - DEBUG] - user into login page
[2025-08-13 15:10:15,096 - INFO] - User successfully logined
[2025-08-13 15:10:15,096 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-13 15:53:44,118 - INFO] - Welcome to the online codegnan banking
[2025-08-13 15:54:18,203 - INFO] - user crednitals are 12345 and 6789
[2025-08-13 15:54:18,203 - DEBUG] - user into login page
[2025-08-13 15:54:18,204 - INFO] - User successfully logined
[2025-08-13 15:54:18,204 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-14 13:31:37,688 - INFO] - Welcome to the online codegnan banking
[2025-08-14 13:31:45,613 - INFO] - user crednitals are 12345 and 6789
[2025-08-14 13:31:45,614 - DEBUG] - user into login page
[2025-08-14 13:31:45,614 - INFO] - User successfully logined
[2025-08-14 13:31:45,614 - INFO] - {'1. Balance\n2. Withdraw\n3. Depositing\n4. Transformation\n5. History\n6. Exit\n'}
[2025-08-14 13:32:51,167 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 13:33:00,093 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 13:33:00,093 - DEBUG] - User in login page
[2025-08-14 13:33:00,093 - INFO] - User successfully logined
[2025-08-14 13:33:00,094 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 13:33:01,858 - INFO] - selected operation is 1. Balance

[2025-08-14 13:40:00,273 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 13:40:22,706 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 13:40:22,706 - DEBUG] - User in login page
[2025-08-14 13:40:22,706 - INFO] - User successfully logined
[2025-08-14 13:40:22,707 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 13:40:26,832 - INFO] - selected operation is 2. withdraw

[2025-08-14 13:40:26,832 - INFO] - User in withdraw page
[2025-08-14 13:59:23,158 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 13:59:32,666 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 13:59:32,666 - DEBUG] - User in login page
[2025-08-14 13:59:32,666 - INFO] - User successfully logined
[2025-08-14 13:59:32,668 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 13:59:37,657 - INFO] - selected operation is 1. Balance

[2025-08-14 13:59:37,658 - INFO] - User in balence page
[2025-08-14 13:59:37,658 - INFO] - 12345 user current balance is2500
[2025-08-14 14:00:16,901 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 14:00:26,152 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 14:00:26,152 - DEBUG] - User in login page
[2025-08-14 14:00:26,152 - INFO] - User successfully logined
[2025-08-14 14:00:26,153 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:00:28,338 - INFO] - selected operation is 2. withdraw

[2025-08-14 14:00:28,338 - DEBUG] - User in withdraw page
[2025-08-14 14:00:48,440 - INFO] - 1000 withdraw successfully and current balance is 1500
[2025-08-14 14:04:19,592 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 14:04:28,276 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 14:04:28,277 - DEBUG] - User in login page
[2025-08-14 14:04:28,277 - INFO] - User successfully logined
